time: 1e-09, e: 1000000000000.0, Ar2^+: 0, Ar*: 0, Ar2(W)^+: 0, Ar(W)^+: 0, Ar^+: 1000000000000.0, Ar: 3.2187760973281406e+24, e(W): 0, EN: 77.66808103688814
time: 1.0000922301484266e-09, e: 1000010771332.7593, Ar2^+: 215683.47729987884, Ar*: 105301398.65777102, Ar2(W)^+: 0, Ar(W)^+: 683.1233008032617, Ar^+: 1000010555846.579, Ar: 3.2187760973281406e+24, e(W): 875.9234424004314, EN: 77.66530795755271
time: 1.0001015466403112e-09, e: 1000011860367.8523, Ar2^+: 235287.74973078936, Ar*: 115931609.94977969, Ar2(W)^+: 0, Ar(W)^+: 683.1233008032617, Ar^+: 1000011625394.7877, Ar: 3.2187760973281406e+24, e(W): 993.3142952801272, EN: 77.66530795323467
time: 1.0001117493273737e-09, e: 1000013059081.6876, Ar2^+: 258918.52841547213, Ar*: 127622259.77209088, Ar2(W)^+: 0, Ar(W)^+: 683.1233008032617, Ar^+: 1000012800476.7213, Ar: 3.2187760973281406e+24, e(W): 993.3142952801272, EN: 77.66530794848177
time: 1.0001229724316412e-09, e: 1000014383347.1471, Ar2^+: 283918.0844447292, Ar*: 140476861.03055987, Ar2(W)^+: 0, Ar(W)^+: 825.1662327876936, Ar^+: 1000014099743.7565, Ar: 3.2187760973281406e+24, e(W): 1135.357227264559, EN: 77.66530794323106
time: 1.0001353729796732e-09, e: 1000015845978.2578, Ar2^+: 315011.28225612384, Ar*: 154607391.3355354, Ar2(W)^+: 0, Ar(W)^+: 981.4134579705686, Ar^+: 1000015531280.5331, Ar: 3.2187760973281406e+24, e(W): 1291.6044524474341, EN: 77.6653079374317
time: 1.0001490463447838e-09, e: 1000017436137.523, Ar2^+: 347323.20842393953, Ar*: 170171943.04782003, Ar2(W)^+: 0, Ar(W)^+: 1153.2854056717313, Ar^+: 1000017088956.0, Ar: 3.2187760973281406e+24, e(W): 1291.6044524474341, EN: 77.66530793112672
time: 1.0001640083847616e-09, e: 1000019198169.3053, Ar2^+: 383433.50463595614, Ar*: 187279148.613393, Ar2(W)^+: 0, Ar(W)^+: 1342.3445481430101, Ar^+: 1000018814876.3599, Ar: 3.2187760973281406e+24, e(W): 1480.663594918713, EN: 77.66530792414025
time: 1.0001806356551796e-09, e: 1000021126004.5385, Ar2^+: 422530.9352990126, Ar*: 206108512.81364274, Ar2(W)^+: 0, Ar(W)^+: 1550.3096048614168, Ar^+: 1000020703407.323, Ar: 3.2187760973281406e+24, e(W): 1480.663594918713, EN: 77.66530791649637
time: 1.000198777141658e-09, e: 1000023282538.9594, Ar2^+: 461420.4009053556, Ar*: 226788329.29098055, Ar2(W)^+: 0, Ar(W)^+: 1550.3096048614168, Ar^+: 1000022821510.9467, Ar: 3.2187760973281406e+24, e(W): 1938.186719699208, EN: 77.6653079079457
time: 1.000218711326712e-09, e: 1000025615220.3949, Ar2^+: 501934.0736046675, Ar*: 249578905.8284866, Ar2(W)^+: 0, Ar(W)^+: 1550.3096048614168, Ar^+: 1000025113678.7133, Ar: 3.2187760973281406e+24, e(W): 1938.186719699208, EN: 77.6653078986966
time: 1.0002405629189139e-09, e: 1000028155427.8859, Ar2^+: 551481.5404027691, Ar*: 274668746.52908856, Ar2(W)^+: 0, Ar(W)^+: 2103.9125858458156, Ar^+: 1000027603785.1302, Ar: 3.2187760973281406e+24, e(W): 1938.186719699208, EN: 77.66530788862465
time: 1.0002646596595185e-09, e: 1000030972795.8289, Ar2^+: 609333.0519156451, Ar*: 302241690.3630891, Ar2(W)^+: 0, Ar(W)^+: 2103.9125858458156, Ar^+: 1000030363302.6818, Ar: 3.2187760973281406e+24, e(W): 1938.186719699208, EN: 77.66530787745377
time: 1.000291172870182e-09, e: 1000034053480.2173, Ar2^+: 668280.6973308581, Ar*: 332594033.94482124, Ar2(W)^+: 0, Ar(W)^+: 2438.842389341377, Ar^+: 1000033385039.4237, Ar: 3.2187760973281406e+24, e(W): 2273.1165231947693, EN: 77.66530786523884
time: 1.0003205118494868e-09, e: 1000037451444.1772, Ar2^+: 740123.1401806534, Ar*: 365965769.7061013, Ar2(W)^+: 0, Ar(W)^+: 3175.687957031612, Ar^+: 1000036710422.9801, Ar: 3.2187760973281406e+24, e(W): 2273.1165231947693, EN: 77.66530785176589
time: 1.0003527087340822e-09, e: 1000041191636.1241, Ar2^+: 812665.5863197503, Ar*: 402678326.4269097, Ar2(W)^+: 0, Ar(W)^+: 3580.953019261241, Ar^+: 1000040378071.3627, Ar: 3.2187760973281406e+24, e(W): 2678.3815854243985, EN: 77.66530783693601
time: 1.0003878725930908e-09, e: 1000045339280.2762, Ar2^+: 892462.2770727673, Ar*: 443028258.6627559, Ar2(W)^+: 0, Ar(W)^+: 3580.953019261241, Ar^+: 1000044446811.533, Ar: 3.2187760973281406e+24, e(W): 3569.9647223295833, EN: 77.66530782049057
time: 1.0004265537153075e-09, e: 1000049927679.1738, Ar2^+: 978277.1539998883, Ar*: 487391117.4368519, Ar2(W)^+: 0, Ar(W)^+: 3580.953019261241, Ar^+: 1000048949395.5532, Ar: 3.2187760973281406e+24, e(W): 3569.9647223295833, EN: 77.66530780229753
time: 1.0004693486565697e-09, e: 1000054952801.4453, Ar2^+: 1061885.3626631692, Ar*: 536223165.9651026, Ar2(W)^+: 0, Ar(W)^+: 3580.953019261241, Ar^+: 1000053890910.7472, Ar: 3.2187760973281406e+24, e(W): 3569.9647223295833, EN: 77.66530778237289
time: 1.0005165433289469e-09, e: 1000060422881.3658, Ar2^+: 1166314.7123226083, Ar*: 589983513.8402357, Ar2(W)^+: 0, Ar(W)^+: 3580.953019261241, Ar^+: 1000059256562.4337, Ar: 3.2187760973281406e+24, e(W): 3569.9647223295833, EN: 77.66530776068399
time: 1.0005685080883895e-09, e: 1000066550925.3351, Ar2^+: 1301420.1834444837, Ar*: 648985443.7098056, Ar2(W)^+: 0, Ar(W)^+: 4233.636454632681, Ar^+: 1000065250154.7542, Ar: 3.2187760973281406e+24, e(W): 4875.331593072464, EN: 77.66530773638625
time: 1.0006255193577058e-09, e: 1000073218543.5366, Ar2^+: 1447882.3463418162, Ar*: 713962233.5545698, Ar2(W)^+: 0, Ar(W)^+: 5669.540012449851, Ar^+: 1000071771310.7921, Ar: 3.2187760973281406e+24, e(W): 6311.235150889634, EN: 77.66530770994912
time: 1.0006876556604874e-09, e: 1000080546605.4694, Ar2^+: 1619257.4359672887, Ar*: 785435122.8942124, Ar2(W)^+: 0, Ar(W)^+: 6459.286969249294, Ar^+: 1000078927997.6371, Ar: 3.2187760973281406e+24, e(W): 7100.982107689077, EN: 77.66530768089329
time: 1.0007562705594581e-09, e: 1000088637010.4723, Ar2^+: 1774758.611761097, Ar*: 864061382.2193867, Ar2(W)^+: 0, Ar(W)^+: 6459.286969249294, Ar^+: 1000086862901.4594, Ar: 3.2187760973281406e+24, e(W): 7100.982107689077, EN: 77.66530764881477
time: 1.0008319429124544e-09, e: 1000097554611.3473, Ar2^+: 1973522.1258483978, Ar*: 950503443.3756949, Ar2(W)^+: 0, Ar(W)^+: 7414.880786976621, Ar^+: 1000095580784.3542, Ar: 3.2187760973281406e+24, e(W): 7100.982107689077, EN: 77.66530761345643
time: 1.0009150818928021e-09, e: 1000107333489.5505, Ar2^+: 2164832.008157414, Ar*: 1045648575.233279, Ar2(W)^+: 0, Ar(W)^+: 7414.880786976621, Ar^+: 1000105168352.6754, Ar: 3.2187760973281406e+24, e(W): 7100.982107689077, EN: 77.66530757468311
time: 1.001006469850646e-09, e: 1000118119161.4899, Ar2^+: 2397241.9805668597, Ar*: 1150255031.9150178, Ar2(W)^+: 0, Ar(W)^+: 7414.880786976621, Ar^+: 1000115722772.0426, Ar: 3.2187760973281406e+24, e(W): 8257.250627139141, EN: 77.66530753191785
time: 1.0011076424428462e-09, e: 1000130153835.6298, Ar2^+: 2629998.8335321746, Ar*: 1265174594.4104717, Ar2(W)^+: 0, Ar(W)^+: 9958.671529766765, Ar^+: 1000127522145.5361, Ar: 3.2187760973281406e+24, e(W): 8257.250627139141, EN: 77.6653074842003
time: 1.0012180039711202e-09, e: 1000143084177.7106, Ar2^+: 2867843.267983086, Ar*: 1391914898.1003482, Ar2(W)^+: 0, Ar(W)^+: 9958.671529766765, Ar^+: 1000140214644.3018, Ar: 3.2187760973281406e+24, e(W): 8257.250627139141, EN: 77.66530743293139
time: 1.0013399061425793e-09, e: 1000157370653.5189, Ar2^+: 3134089.126077237, Ar*: 1531253821.4869623, Ar2(W)^+: 0, Ar(W)^+: 11497.664929154802, Ar^+: 1000154236413.2439, Ar: 3.2187760973281406e+24, e(W): 11335.237425915215, EN: 77.66530737628541
time: 1.0014737595167463e-09, e: 1000173221209.014, Ar2^+: 3442195.604634695, Ar*: 1684377662.6490211, Ar2(W)^+: 0, Ar(W)^+: 11497.664929154802, Ar^+: 1000169782246.9098, Ar: 3.2187760973281406e+24, e(W): 14721.022904568896, EN: 77.66530731343786
time: 1.0016213299309414e-09, e: 1000190628886.414, Ar2^+: 3794148.005140785, Ar*: 1852823198.8416653, Ar2(W)^+: 0, Ar(W)^+: 13359.846942414328, Ar^+: 1000186839834.0924, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530724441633
time: 1.0017831345076067e-09, e: 1000209552006.9672, Ar2^+: 4140327.6414057305, Ar*: 2038391871.0892391, Ar2(W)^+: 0, Ar(W)^+: 15408.247156999805, Ar^+: 1000205414727.7277, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530716938601
time: 1.001962149690099e-09, e: 1000230205206.9554, Ar2^+: 4527884.9620052865, Ar*: 2242675137.379526, Ar2(W)^+: 0, Ar(W)^+: 15408.247156999805, Ar^+: 1000225680370.3956, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530708749593
time: 1.002158467288752e-09, e: 1000253320297.9069, Ar2^+: 4971547.964482336, Ar*: 2466970331.4813538, Ar2(W)^+: 0, Ar(W)^+: 17886.811416648234, Ar^+: 1000248349318.651, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530699584443
time: 1.0023741810000303e-09, e: 1000278629661.9739, Ar2^+: 5486841.474063293, Ar*: 2713785016.901885, Ar2(W)^+: 0, Ar(W)^+: 20613.232102261507, Ar^+: 1000273140661.6605, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530689549265
time: 1.0026111393991315e-09, e: 1000306796859.2668, Ar2^+: 6011677.456043865, Ar*: 2984999258.9483123, Ar2(W)^+: 0, Ar(W)^+: 20613.232102261507, Ar^+: 1000300783022.9733, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530678380953
time: 1.0028718153807033e-09, e: 1000337421189.5726, Ar2^+: 6635182.602636819, Ar*: 3283645028.275212, Ar2(W)^+: 0, Ar(W)^+: 23912.201131853566, Ar^+: 1000330780548.037, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.66530666238386
time: 1.0031600878246526e-09, e: 1000370882961.5269, Ar2^+: 7440790.839663188, Ar*: 3612264240.5214086, Ar2(W)^+: 0, Ar(W)^+: 23912.201131853566, Ar^+: 1000363436712.8722, Ar: 3.2187760973281406e+24, e(W): 18445.386931087945, EN: 77.6653065297077
time: 1.0034765238085353e-09, e: 1000407227867.5056, Ar2^+: 8147331.036730926, Ar*: 3974364095.642361, Ar2(W)^+: 0, Ar(W)^+: 31895.706183466355, Ar^+: 1000399075079.7589, Ar: 3.2187760973281406e+24, e(W): 26428.891982700734, EN: 77.66530638559992
time: 1.0038214865137232e-09, e: 1000447036019.4521, Ar2^+: 8942088.964619052, Ar*: 4372853964.301341, Ar2(W)^+: 0, Ar(W)^+: 31895.706183466355, Ar^+: 1000438088472.6788, Ar: 3.2187760973281406e+24, e(W): 26428.891982700734, EN: 77.66530622776033
time: 1.0042049533060182e-09, e: 1000491341798.6901, Ar2^+: 9821152.705852251, Ar*: 4810666347.620185, Ar2(W)^+: 0, Ar(W)^+: 36725.726739692094, Ar^+: 1000481510357.0441, Ar: 3.2187760973281406e+24, e(W): 26428.891982700734, EN: 77.66530605208764
time: 1.0046265226139233e-09, e: 1000540683839.4185, Ar2^+: 10883757.228222053, Ar*: 5291548024.197734, Ar2(W)^+: 0, Ar(W)^+: 42038.749351540406, Ar^+: 1000529789793.2559, Ar: 3.2187760973281406e+24, e(W): 31741.914594549045, EN: 77.66530585644612
time: 1.0050918276941286e-09, e: 1000595188013.9132, Ar2^+: 12023400.578463666, Ar*: 5820325005.729493, Ar2(W)^+: 0, Ar(W)^+: 42038.749351540406, Ar^+: 1000583160167.5952, Ar: 3.2187760973281406e+24, e(W): 37586.239467582185, EN: 77.66530564033671
time: 1.0055997065757825e-09, e: 1000654866169.2872, Ar2^+: 13135575.60180202, Ar*: 6402397554.660115, Ar2(W)^+: 0, Ar(W)^+: 42038.749351540406, Ar^+: 1000641732575.5762, Ar: 3.2187760973281406e+24, e(W): 44014.99682791864, EN: 77.66530540371245
